6968.87	6774.585	6997.445	6608.875	7968.87	8886.33	10782.05	12782.05	13782.05	13482.05	13782.05	13282.05	11782.05	10782.05	11582.05	12782.05	13782.05	13982.05	13082.05	12782.05	12010.6	11829.18	10109.19	8940.295

612.99	598.045	538.265	508.375	612.99	837.41	1178.205	1435.455	1204.465	1084.05	1073.72	1233.5	1058.775	1064.245	1614.795	1525.125	1629.74	1913.94	1973.72	1734.355	1271.06	986.86	777.63	687.715
	
1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1089.2	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	
1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	
1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	993.76	532.885	1087.7	1200	1200	1200	1200	1200	993.76	1200	1200	1200	1200	1200	
1200	1200	1200	1200	1200	1096.6	961.755	452.222	0	0	0	0	0	0	166.551	366.569	136.917	0	0	0	873.132	1200	1200	1200	

1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	
1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	



